node,attack_score
2399,0.06532852748040291
11693,0.06522580016391412
4174,0.0651162935179746
46740,0.06509194970935094
12710,0.06502525320651828
10965,0.06493487716724225
11635,0.0649346300527127
5992,0.06483195835571144
63689,0.06474996048444516
6285,0.0646988618013028
4308,0.06463853293655557
3321,0.06457746832574165
1533,0.06433587940936883
857,0.06428638122558254
1909,0.06428504872876958
677,0.06427157175191822
23561,0.0641248432792175
11840,0.06394672703322136
12467,0.06390787009961997
2579,0.06389094641030685
3017,0.06367899556428361
409,0.06356324787843967
5561,0.06356031474705837
15543,0.06355331413666371
9763,0.06352105666490705
5882,0.06351933567767545
12713,0.06344919598230184
1486,0.06319542590707215
3215,0.0631840309045184
11573,0.0629785787910872
2339,0.06288304096583408
28536,0.06285048098291697
1376,0.06268413082304553
3324,0.0626635982190252
7529,0.06260479665761348
42941,0.06252161105557796
17216,0.06244891876560826
3220,0.06241038784608755
4710,0.062364317621959334
8778,0.06233449607001843
17376,0.06231675876325174
5507,0.062311232026531355
12184,0.06230331120196532
12549,0.06221899296810214
143,0.061994998235381044
4665,0.06192865219551351
4489,0.06191574885258021
831,0.061909663780845184
1461,0.06174515070106155
11714,0.06167655369471975
3615,0.061586514081051834
1491,0.061582012414163334
3183,0.0614198447921155
11521,0.06135507582834761
1474,0.0613108467306893
2193,0.06128576205535977
3376,0.06125620577039886
11735,0.06103790483649627
12169,0.060797697530471526
12806,0.060797689956212014
3169,0.060558988039149136
44760,0.060526399387432976
47852,0.06046583607623669
50,0.06045027756133846
4153,0.06039195968221911
9381,0.06028893292312473
4657,0.06025579849588979
3168,0.06017005422020699
6911,0.06005713669393614
2733,0.05995541766991242
6128,0.059802809500516425
647,0.05958706835137824
2451,0.05944866348454776
1787,0.059416756108369315
3828,0.05932359102592301
6825,0.05925948464730466
6276,0.059153736507928344
11722,0.05910996105263123
1487,0.058877605577304294
27954,0.05885225104002502
3371,0.05879411493097295
14774,0.058590897586968456
11598,0.05857426367187346
29392,0.05849473276633935
665,0.058365394190007115
24610,0.05833536997576026
7374,0.0583153192762535
6364,0.05819251546461256
4561,0.05817190537483107
252,0.057979469338978226
3201,0.05797669905737278
54518,0.05784690179932382
3159,0.05782286075227817
5591,0.05779445333112074
1024,0.05765391999195468
4494,0.057595002730346276
1821,0.05753049070831309
1602,0.05752712110846616
21145,0.05748753971207621
7759,0.057423036972969806
6993,0.05741741556667689
555,0.05728097554329571
3241,0.05713458812063634
3139,0.05705244792464044
727,0.05702051003336028
1788,0.056998669093421966
9720,0.05699580522347546
311,0.056787395439853776
3884,0.0567798626655298
3903,0.056768007367678903
7737,0.05675476150099416
12211,0.05663912323329034
10197,0.05657899128558346
10757,0.056566860446341155
111515,0.056532920296002376
11841,0.05650794614905018
14883,0.05638846229166003
18054,0.05632649088490292
4581,0.056232863697422336
7682,0.05622526343875485
9053,0.05619319726451253
17282,0.056006945989159604
11874,0.0558752659866762
3338,0.05582108997154939
1925,0.055780430939731424
3247,0.055741609120342095
1278,0.05572558159633853
11707,0.055666826721317134
1505,0.05566311000932776
3750,0.05545223501670575
4154,0.055254094803898236
8930,0.0552168158752434
13732,0.0552146710720218
4959,0.05515768432686764
49166,0.05512190735812671
1497,0.05510040419473343
15136,0.05498911955831289
3906,0.054987974163257805
3347,0.054987810545720106
2401,0.054987547739710485
3745,0.05495283765069181
33765,0.05485742319619795
3228,0.054765422279808434
16995,0.05470946158087191
3842,0.05464257062037782
4629,0.054561929232741405
56140,0.054415460947621036
1451,0.054341650437152327
2043,0.054308718494260236
7085,0.05429707506513783
8085,0.054270793483607596
1832,0.054240958105678076
82375,0.054224713108277686
15395,0.054206003655589946
6816,0.05417402539428013
5650,0.05413468726876623
1289,0.05411099775147011
481,0.05407907837557594
4746,0.05404365901047614
1443,0.0538166203184405
5228,0.05375039242855007
3857,0.05360098132102836
9234,0.05356688980601049
967,0.053557020828909646
1956,0.05353106557961698
131522,0.05330285077805412
1957,0.053276361085055124
1327,0.05320628366329545
21144,0.05319819157272392
5410,0.05315748745081594
22852,0.053145663973419396
21140,0.05302960945809197
3753,0.0529802829171223
6272,0.05295378625745966
1457,0.052926628994531544
22681,0.05291371274413681
3106,0.05289523189992275
584,0.05283956887287801
11853,0.05281715314978414
1830,0.05271322639991219
1650,0.05270667959443914
29230,0.05267152147562261
11724,0.05256886730550331
7183,0.05252486618373543
40535,0.0525238384483703
4771,0.05250064788687846
1828,0.05242097816090575
1509,0.05239028685537098
17250,0.052328536621581434
1365,0.052312547349392426
9757,0.0521818676792613
3905,0.052146050850623994
11719,0.052129323019826236
18064,0.052118377911644004
114220,0.052112234018039924
2763,0.05199608661925982
2253,0.05186127373944771
17510,0.05185762901380338
11862,0.0518250849188958
922,0.05181157483519727
1782,0.05180742029726151
4579,0.05171363761848421
5613,0.05164713848184885
24510,0.051567918741919926
15861,0.05148748048492896
31790,0.05146638697714283
7410,0.051434261011262444
3763,0.051367198693666224
10158,0.051321558351409516
2378,0.051275628061109996
92839,0.05125681269730273
3760,0.05122266241786227
1499,0.05117749251259073
1622,0.0510798721166476
20283,0.05107387519926324
56146,0.051039718187739884
29507,0.05091149011134456
1291,0.05084928022581277
878,0.050757454829553655
1842,0.05075258776928872
3623,0.05071994913931625
17036,0.05071846668914749
6280,0.050687028083861746
13506,0.0506680481851576
29224,0.050653194505447745
7341,0.05063966798354749
54055,0.05062319917161326
11410,0.050620074443986876
23477,0.05055993882534507
7873,0.05048343019750649
6146,0.05047024434681842
2835,0.05046617805922264
1937,0.050460127929786915
1819,0.05044783640981032
1611,0.05043412343191557
3237,0.05022593381779724
10780,0.050200975334154005
709,0.05018227671373318
408,0.05017154683827468
